,start,end,id,num_type,string_type,bool_type,void,input,output,if,elseif,else,switch,case,default,colon,while,for,do_while,break,continue,try,catch,finally,throw,function,return,l_paren,r_paren,l_brace,r_brace,l_brack,r_brack,semi,comma,assign_as,assign_add,assign_min,assign_mul,assign_div,assign_mod,incre,decre,log_or,log_and,log_not,rel_eq,rel_neq,rel_ls,rel_lse,rel_gt,rel_gte,arith_add,arith_sub,arith_mul,arith_div,arith_mod,numlit,stringlit,true,false,eof
THROW_STMT,,,,,,,,,,,,,,,,,,,,,,,,,<THROW_STMT> → throw <EXPRESSION> semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCTION_DECL,,,,,,,,,,,,,,,,,,,,,,,,,,<FUNCTION_DECL> → function <TYPE> id l_paren <PARAM_LIST> r_paren <BLOCK>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAM_LIST,,,,<PARAM_LIST> → <TYPE> id <MORE_PARAMS>,<PARAM_LIST> → <TYPE> id <MORE_PARAMS>,<PARAM_LIST> → <TYPE> id <MORE_PARAMS>,<PARAM_LIST> → <TYPE> id <MORE_PARAMS>,,,,,,,,,,,,,,,,,,,,,,<PARAM_LIST> → ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORE_PARAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<MORE_PARAMS> → ε,,,,,,<MORE_PARAMS> → comma <TYPE> id <MORE_PARAMS>,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,<RETURN_STMT> → return <RETURN_STMT>',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETURN_STMT',,,<RETURN_STMT>' → <EXPRESSION> semi,,,,,,,,,,,,,,,,,,,,,,,,,<RETURN_STMT>' → <EXPRESSION> semi,,,,,,<RETURN_STMT>' → semi,,,,,,,,,,,,<RETURN_STMT>' → <EXPRESSION> semi,,,,,,,<RETURN_STMT>' → <EXPRESSION> semi,<RETURN_STMT>' → <EXPRESSION> semi,,,,<RETURN_STMT>' → <EXPRESSION> semi,<RETURN_STMT>' → <EXPRESSION> semi,<RETURN_STMT>' → <EXPRESSION> semi,<RETURN_STMT>' → <EXPRESSION> semi,
ARG_LIST,,,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,,,,,,,,,,,,,,,,,,,,,,,,,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,<ARG_LIST> → ε,,,,,,,,,,,,,,,,,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,,,,,,,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,,,,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,<ARG_LIST> → <EXPRESSION> <MORE_ARGS>,
MORE_ARGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<MORE_ARGS> → ε,,,,,,<MORE_ARGS> → comma <EXPRESSION> <MORE_ARGS>,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSION,,,<EXPRESSION> → <LOGIC_OR>,,,,,,,,,,,,,,,,,,,,,,,,,<EXPRESSION> → <LOGIC_OR>,,,,,,,,,,,,,,,,,,<EXPRESSION> → <LOGIC_OR>,,,,,,,<EXPRESSION> → <LOGIC_OR>,<EXPRESSION> → <LOGIC_OR>,,,,<EXPRESSION> → <LOGIC_OR>,<EXPRESSION> → <LOGIC_OR>,<EXPRESSION> → <LOGIC_OR>,<EXPRESSION> → <LOGIC_OR>,
LOGIC_OR,,,<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',,,,,,,,,,,,,,,,,,,,,,,,,<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',,,,,,,,,,,,,,,,,,<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',,,,,,,<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',,,,<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',<LOGIC_OR> → <LOGIC_AND> <LOGIC_OR>',
